model,AMPS_Hard,code_completion,code_generation,connections,consecutive_events,integrals_with_game,javascript,logic_with_navigation,math_comp,olympiad,paraphrase,plot_unscrambling,python,simplify,spatial,story_generation,summarize,tablejoin,tablereformat,theory_of_mind,typescript,typos,zebra_puzzle
claude-opus-4-6-thinking-auto-high-effort,97.0,76.087,80.282,99.333,63.467,73.0,63.636,80.0,95.098,92.17,62.817,66.476,50.0,59.15,98.0,66.133,65.15,48.173,98.039,82.692,33.333,84.0,94.0
claude-opus-4-7-xhigh-effort,98.0,78.261,85.915,92.333,89.521,84.0,63.636,70.0,98.039,91.376,61.4,61.409,45.0,55.2,100.0,60.617,62.217,47.231,98.039,80.769,43.333,80.0,98.0
claude-opus-4-8-xhigh-effort,98.0,78.261,80.282,97.833,89.205,95.0,59.091,82.0,97.059,91.207,64.633,70.419,50.0,62.85,98.0,68.317,73.983,47.788,98.039,78.846,33.333,76.0,100.0
claude-sonnet-4-6-thinking-auto-medium-effort,76.0,78.261,80.282,99.333,92.683,90.0,54.545,70.0,94.118,87.858,59.4,56.975,50.0,62.933,100.0,68.9,61.65,45.077,96.078,73.077,23.333,72.0,96.0
gemini-3.5-flash-high,98.0,76.087,80.282,100.0,47.994,68.0,63.636,74.0,95.098,91.877,75.517,67.753,50.0,69.1,96.0,75.2,82.583,50.5,96.078,80.769,33.333,86.0,77.25
glm-5.2,98.0,80.435,78.873,94.0,79.276,76.0,59.091,80.0,96.078,89.047,62.25,60.725,50.0,55.667,94.0,62.883,68.367,45.865,96.078,75.0,46.667,74.0,65.5
gpt-5.2-2025-12-11-high,97.0,76.087,76.056,99.0,88.913,92.0,59.091,74.0,95.098,88.566,64.1,58.427,55.0,54.083,96.0,65.7,63.2,45.577,100.0,78.846,36.667,82.0,84.0
gpt-5.4-xhigh,98.0,80.435,74.648,100.0,86.19,93.0,68.182,68.0,94.118,91.474,63.433,65.901,50.0,70.0,98.0,79.017,68.417,51.75,100.0,88.462,43.333,82.0,98.0
gpt-5.5-xhigh,97.0,82.609,81.69,100.0,88.823,99.0,54.545,76.0,96.078,91.351,71.733,74.089,55.0,66.317,98.0,72.55,72.317,55.904,100.0,84.615,46.667,88.0,100.0
kimi-k2.6-thinking,97.0,78.261,78.873,89.333,51.268,54.0,59.091,70.0,96.078,90.027,61.633,58.091,55.0,61.417,94.0,66.883,67.5,46.096,98.039,75.0,26.667,78.0,78.5
qwen3.7-max,98.0,69.565,78.873,96.5,71.8,59.0,59.091,84.0,97.059,86.934,72.0,58.717,45.0,64.083,96.0,76.283,83.8,45.519,98.039,78.846,26.667,84.0,74.5
